objectid,parentid,pid,title,archival_call_number,archival_collection,finding_aid_ark,physical_location,archival_series_title,folder_title,box,folder,contributing_institution,contributing_institution_valueURI,creator,personal_creator,personal_creator_valueURI,corporate_creator,corporate_creator_valueURI,interviewee,interviewee_valueURI,interviewer,interviewer_valueURI,personal_contributor,personal_contributor_valueURI,corporate_contributor,corporate_contributor_valueURI,description,table_of_contents,annotation,url,language,location,geographic_subject_fast,geographic_subject_fast_valueURI,topical_subject_fast,topical_subject_fast_valueURI,subject,topical_subject_local,topical_subject_local_valueURI,geographic_subject_lcsh,geographic_subject_lcsh_valueURI,geographic_subject_local,geographic_subject_local_valueURI,geographic_subject_geonames,geographic_subject_geonames_valueURI,coordinates,personal_name_subject,personal_name_subject_valueURI,corporate_name_subject,corporate_name_subject_valueURI,birds_subject,birds_subject_valueURI,chronological_subject,event_subject,event_subject_valueURI,extent,aat_genre,aat_genre_valueURI,dcmi_type,dcmi_type_valueURI,type_of_resource,imt_type,cco_description,rights_management,rights_management_valueURI,date,date_original,date_digital,location_interview,publisher,publisher_valueURI,ark,local_id,preservation_file_name,identifier,pdf_download,format,display_template,object_location,image_access,image_small,image_thumb,image_alt_text,object_transcript,object_ocr,uid,avian_id,project_number,date_created,date_modified,issuance,issuance_start,issuance_end,frequency,digital_collection,digital_collection_ark,hardware_software,disclaimer,image_manipulation,file_size,resolution,colorspace,bits_per_sample,samples_per_pixel,height,width,digital_origin
testcollection_011,,,Record book of the Iowa Ornithologists' Association - IIIF Viewer,MS 581,Iowa Ornithological Association records,https://n2t.net/ark:/87292/w9vx8d,,,"Record Book, 1895-1897",1,1,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,Iowa Ornithological Association,,,,,,,,,"Bartsch, Paul, 1871-1960;Merriam, C. Hart (Clinton Hart), 1855-1942;Currier, Edmonde S.;Giddings, Harold Joseph;Henning, Carl Fritz;Hoover, George C.;Rich, Guy C.;Savage, David L.;Bailey, Bert Heald;Heaton, Hiram;Irons, Ernest E. (Ernest Edward), 1877-;Law, John Eugene, 1877-1931;Goss, R. D.",http://id.loc.gov/authorities/names/n88013379;http://id.loc.gov/authorities/names/n80024499;;;;;;;;;http://id.loc.gov/authorities/names/no99076166;http://id.loc.gov/authorities/names/n92048088;,,,"IIIF viewer version of the record book for the Iowa Ornithological Association. The book covers the period from the group's founding as the Iowa Ornithologist's Association on June 15, 1894 to January 16, 1898. The record book includes meeting minutes, copies of the organization's constitution, financial reports, officer and membership lists, and letters regarding the Iowa Ornithological Association.",,,,eng,Iowa City;Iowa;Mount Vernon;Salem;Manchester,,,"Ornithology--Societies, etc;Meetings;Societies--History, organization, etc.",http://id.worldcat.org/fast/1048364;http://id.worldcat.org/fast/1015496;http://id.worldcat.org/fast/1123789,"Brown, J.H.;Keyes, Charles R. (Charles Reuben), 1871-1951",;http://id.loc.gov/authorities/names/n88218780,,,,WGS 84,108 pages,Iowa City;Iowa;Mount Vernon;Salem;Manchester,http://sws.geonames.org/4862034;http://sws.geonames.org/4862182;http://sws.geonames.org/4868251;http://sws.geonames.org/4875384;http://sws.geonames.org/4865996,"-91.45543, -91.45543",http://vocab.getty.edu/aat/300027425;http://vocab.getty.edu/aat/300026867;http://vocab.getty.edu/aat/300026877,Text,image/jpeg,,,,,,,,reformatted digital; Digitized with Nikon camera,,Text,,,,,"This complex item has mixed rights protection.;For portions in which Iowa State University is the copyright holder, no permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.;The Iowa State University Library believes that portions of this item are in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",;https://creativecommons.org/licenses/by-nc/4.0/;http://rightsstatements.org/vocab/NoC-US/1.0/,1894-06-15,,2019-01-15,,,,https://n2t.net/ark:/87292/w9736m679,,,,/objects/pdf/ms0581.pdf,,iiif,,,/objects/small/ms0581b001f001i0001_sm.jpg,/objects/thumbs/ms0581b001f001i0001_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
testcollection_012,testcollection_011,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ms0581b001f001i0001.jpg,ms0581b001f001i0001,,image/jpeg,image,/objects/ms0581b001f001i0001.jpg,/objects/access/ms0581b001f001i0001_ac.jpg,/objects/small/ms0581b001f001i0001_sm.jpg,/objects/thumbs/ms0581b001f001i0001_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
testcollection_013,testcollection_011,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,administrative records;clippings (information artifacts);correspondence,,,,,,,,,,,,,,,,,,,,,,,,,,,,ms0581b001f001i0002.jpg,ms0581b001f001i0002,,image/jpeg,image,/objects/ms0581b001f001i0002.jpg,/objects/access/ms0581b001f001i0002_ac.jpg,/objects/small/ms0581b001f001i0002_sm.jpg,/objects/thumbs/ms0581b001f001i0002_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
testcollection_014,testcollection_011,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ms0581b001f001i0003.jpg,ms0581b001f001i0003,,image/jpeg,image,/objects/ms0581b001f001i0003.jpg,/objects/access/ms0581b001f001i0003_ac.jpg,/objects/small/ms0581b001f001i0003_sm.jpg,/objects/thumbs/ms0581b001f001i0003_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
testcollection_015,testcollection_011,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ms0581b001f001i0004.jpg,ms0581b001f001i0004,,image/jpeg,image,/objects/ms0581b001f001i0004.jpg,/objects/access/ms0581b001f001i0004_ac.jpg,/objects/small/ms0581b001f001i0004_sm.jpg,/objects/thumbs/ms0581b001f001i0004_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
testcollection_016,testcollection_011,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ms0581b001f001i0005.jpg,ms0581b001f001i0005,,image/jpeg,image,/objects/ms0581b001f001i0005.jpg,/objects/access/ms0581b001f001i0005_ac.jpg,/objects/small/ms0581b001f001i0005_sm.jpg,/objects/thumbs/ms0581b001f001i0005_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
testcollection_017,testcollection_011,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ms0581b001f001i0006.jpg,ms0581b001f001i0006,,image/jpeg,image,/objects/ms0581b001f001i0006.jpg,/objects/access/ms0581b001f001i0006_ac.jpg,/objects/small/ms0581b001f001i0006_sm.jpg,/objects/thumbs/ms0581b001f001i0006_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
testcollection_018,testcollection_011,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ms0581b001f001i0007.jpg,ms0581b001f001i0007,,image/jpeg,image,/objects/ms0581b001f001i0007.jpg,/objects/access/ms0581b001f001i0007_ac.jpg,/objects/small/ms0581b001f001i0007_sm.jpg,/objects/thumbs/ms0581b001f001i0007_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
testcollection_019,testcollection_011,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ms0581b001f001i0008.jpg,ms0581b001f001i0008,,image/jpeg,image,/objects/ms0581b001f001i0008.jpg,/objects/access/ms0581b001f001i0008_ac.jpg,/objects/small/ms0581b001f001i0008_sm.jpg,/objects/thumbs/ms0581b001f001i0008_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
testcollection_020,testcollection_011,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ms0581b001f001i0009.jpg,ms0581b001f001i0009,,image/jpeg,image,/objects/ms0581b001f001i0009.jpg,/objects/access/ms0581b001f001i0009_ac.jpg,/objects/small/ms0581b001f001i0009_sm.jpg,/objects/thumbs/ms0581b001f001i0009_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
testcollection_021,testcollection_011,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ms0581b001f001i0010.jpg,ms0581b001f001i0010,,image/jpeg,image,/objects/ms0581b001f001i0010.jpg,/objects/access/ms0581b001f001i0010_ac.jpg,/objects/small/ms0581b001f001i0010_sm.jpg,/objects/thumbs/ms0581b001f001i0010_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
testcollection_022,testcollection_011,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ms0581b001f001i0011.jpg,ms0581b001f001i0011,,image/jpeg,image,/objects/ms0581b001f001i0011.jpg,/objects/access/ms0581b001f001i0011_ac.jpg,/objects/small/ms0581b001f001i0011_sm.jpg,/objects/thumbs/ms0581b001f001i0011_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
testcollection_023,testcollection_011,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ms0581b001f001i0012.jpg,ms0581b001f001i0012,,image/jpeg,image,/objects/ms0581b001f001i0012.jpg,/objects/access/ms0581b001f001i0012_ac.jpg,/objects/small/ms0581b001f001i0012_sm.jpg,/objects/thumbs/ms0581b001f001i0012_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
testcollection_024,testcollection_011,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ms0581b001f001i0013.jpg,ms0581b001f001i0013,,image/jpeg,image,/objects/ms0581b001f001i0013.jpg,/objects/access/ms0581b001f001i0013_ac.jpg,/objects/small/ms0581b001f001i0013_sm.jpg,/objects/thumbs/ms0581b001f001i0013_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
testcollection_025,testcollection_011,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ms0581b001f001i0014.jpg,ms0581b001f001i0014,,image/jpeg,image,/objects/ms0581b001f001i0014.jpg,/objects/access/ms0581b001f001i0014_ac.jpg,/objects/small/ms0581b001f001i0014_sm.jpg,/objects/thumbs/ms0581b001f001i0014_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
testcollection_026,testcollection_011,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ms0581b001f001i0015.jpg,ms0581b001f001i0015,,image/jpeg,image,/objects/ms0581b001f001i0015.jpg,/objects/access/ms0581b001f001i0015_ac.jpg,/objects/small/ms0581b001f001i0015_sm.jpg,/objects/thumbs/ms0581b001f001i0015_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,
